시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 견소동,202,202,0,송정한신,84.945,202208,4,"26,000",1,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 견소동,202,202,0,송정한신,43.38,202208,20,"16,500",12,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202208,8,"28,500",13,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202208,12,"36,000",9,2005,경강로2539번길 22,,직거래,-
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202208,18,"27,000",7,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,135.1727,202208,16,"58,000",3,2009,화부산로99번길 12,,중개거래,강원 강릉시
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,84.9855,202208,18,"48,500",12,2009,화부산로111번길 24,,중개거래,강원 강릉시
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,84.9855,202208,24,"50,000",14,2009,화부산로111번길 24,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,202208,13,"39,500",14,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,Nov.37,37,11,교동임대,51.66,202208,12,"9,800",3,1987,명륜로 109-4,,중개거래,강원 강릉시
강원도 강릉시 교동,834,834,0,덕진,40.86,202208,17,"8,500",2,1988,옛강일길 28,,중개거래,강원 강릉시
강원도 강릉시 교동,318-4,318,4,매화임대,48.6,202208,22,"12,500",3,1987,율곡로2968번길 26,,중개거래,강원 강릉시
강원도 강릉시 교동,348-6,348,6,서일2,27.75,202208,24,"7,000",1,1987,수리골길17번길 35,,중개거래,강원 강릉시
강원도 강릉시 교동,828-19,828,19,현대,71.175,202208,17,"14,800",7,1992,옛강일길 41,,중개거래,강원 강릉시
